player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA TOUR,1,0,1,0,2.52
"Rahm, Jon",PGA TOUR,2,0,3,0,2.428
"McIlroy, Rory",PGA TOUR,3,0,2,0,2.377
"Cantlay, Patrick",PGA TOUR,4,0,4,0,2.139
"Finau, Tony",PGA TOUR,5,0,13,0,2.028
"Schauffele, Xander",PGA TOUR,6,0,7,0,1.94
"Homa, Max",PGA TOUR,7,0,5,1,1.786
"Day, Jason",PGA TOUR,8,0,35,-2,1.611
"Young, Cameron",PGA TOUR,9,0,14,0,1.589
"Hovland, Viktor",PGA TOUR,10,0,9,0,1.587
"Morikawa, Collin",PGA TOUR,11,1,12,0,1.57
"Thomas, Justin",PGA TOUR,12,1,10,1,1.542
"Im, Sungjae",PGA TOUR,13,1,18,0,1.529
"Hatton, Tyrrell",PGA TOUR,14,-3,17,0,1.486
"Johnson, Dustin",LIV Tour,15,0,69,-1,1.478
"Spieth, Jordan",PGA TOUR,16,0,16,0,1.28
"Zalatoris, Will",PGA TOUR,17,1,8,0,1.254
"Fitzpatrick, Matthew",PGA TOUR,18,1,15,0,1.244
"Burns, Sam",PGA TOUR,19,1,11,-1,1.224
"Smith, Cameron",LIV Tour,20,-3,6,-1,1.219
"Conners, Corey",PGA TOUR,21,18,28,12,1.151
"Pereira, Mito",PGA TOUR,22,5,53,0,1.15
"Niemann, Joaquin",LIV Tour,23,-2,25,1,1.126
"Clark, Wyndham",PGA TOUR,24,-1,81,1,1.118
"Matsuyama, Hideki",PGA TOUR,25,5,21,0,1.094
"Kim, Tom",PGA TOUR,26,-2,19,0,1.09
"Hoge, Tom",PGA TOUR,27,-2,26,-1,1.087
"Casey, Paul",LIV Tour,28,-6,108,-5,1.085
"Montgomery, Taylor",PGA TOUR,29,0,54,4,1.069
"Kuchar, Matt",PGA TOUR,30,14,51,15,1.068
"Mitchell, Keith",PGA TOUR,31,-5,45,1,1.067
"Fowler, Rickie",PGA TOUR,32,3,55,4,1.05
"Bradley, Keegan",PGA TOUR,33,-5,22,0,1.047
"Noren, Alex",PGA TOUR,34,-2,41,1,1.035
"Henley, Russell",PGA TOUR,35,-2,38,-1,0.964
"Moore, Taylor",PGA TOUR,36,-2,50,0,0.962
"Howell III, Charles",PGA TOUR,37,-6,332,-3,0.96
"Fleetwood, Tommy",PGA TOUR,38,-1,27,0,0.943
"Rose, Justin",PGA TOUR,39,-1,36,-5,0.934
"Kim, Si Woo",PGA TOUR,40,-4,39,0,0.922
"Kirk, Chris",PGA TOUR,41,5,32,2,0.905
